KRISHNAEN.NS         "Krishna Engineering Works Ltd"                                                                     
ACE.NS               "Action Construction Equipment Ltd"                                                                 
EMAMIINFRA-EQ.NS     "EMAMI INFRASTRUCTURE LIMITED"                                                                      
LIQUIDBEE.NS         "GOLDMAN SACHS LIQUID EXCHANGE"                                                                     
INDOWIND-BE.NS       "INDOWIND ENERGY INR10"                                                                             
HDFCMFGET.NS         "HDFC ASSET MANAGEM GOLD EXCHANG"                                                                   
ENTEGRA-EQ.NS        "ENTEGRA LIMITED"                                                                                   
BIRLAERIC.NS         "Birla Ericsson Optical Ltd"                                                                        
VALECHAEN.NS         "Valecha Engineering Ltd"                                                                           
INDNIPPON.NS         "India Nippon Electricals Ltd"                                                                      
EIHOTEL.NS           "EIH Ltd"                                                                                           
N100.NS              "Motilal Oswal MOSt Shares NASDAQ 100 ETF"                                                          
COROENGG-EQ.NS       "COROMANDEL ENGINEERING CO LTD I"                                                                   
RCF.NS               "Rashtriya Chemicals and Fertilizers Ltd"                                                           
OFSS.NS              "Oracle Financial Services Software Ltd"                                                            
FORTIS.NS            "Fortis Healthcare Ltd"                                                                             
FCSSOFT.NS           "FCS Software Solutions Ltd"                                                                        
BAJFINANC.NS         "BAJAJ FINANCE LIMITED"                                                                             
SUNDARMFI.NS         "Sundaram Finance Ltd"                                                                              
SRTRANSFIN-EQ.NS     "SHRIRAM TRANSPORT FINANCE COMPA"                                                                   
RELAXO.NS            "Relaxo Footwears Limited"                                                                          
FARMAXIND.NS         "Farmax India Ltd"                                                                                  
AIFL-EQ.NS           "Ashapura Inti Fashion Ltd"                                                                         
MUTHOOTFI.NS         "MUTHOOT FINANCE LIMITED"                                                                           
JMFINANCIL-EQ.NS     "JM FINANCIAL LIMITED"                                                                              
ELFORGE-BE.NS        "E L FORGE LTD INR10"                                                                               
EDELWEISS.NS         "Edelweiss Financial Services Ltd"                                                                  
FLEXITUFF.NS         "Flexituff International Ltd"                                                                       
PFOCUS.NS            "Prime Focus Limited"                                                                               
PDSMFL-EQ.NS         "PDS MULTINATIONAL FASHIONS LIMI"                                                                   
AVANTIFEED-EQ.NS     "AVANTI FEEDS LIMITED"                                                                              
GLFL.NS              "Gujarat Lease Financing Ltd"                                                                       
GREENFIRE.NS         "Green Fire Agri Commodities Ltd"                                                                   
DWSFMP52DG-MF.NS     "DEUTSCHE ASSET MGM FMP 52 DIR P"                                                                   
JINDALPOL.NS         "Jindal Poly Films Ltd"                                                                             
HCPO36MSRG-MF.NS     "HDFC MUTUAL FUND CAP PRO 36M RE"                                                                   
FOSECOIND.NS         "Foseco India Ltd"                                                                                  
TCIFINANCE-EQ.NS     "TCI FINANCE LIMITED"                                                                               
MADRASFERT-EQ.NS     "MADRAS FERTILIZERS LIMITED"                                                                        
FCEL.NS              "Future Consumer Enterprise Limited"                                                                
MOTILALOFS-EQ.NS     "MOTILAL OSWAL FINANCIAL SERVICE"                                                                   
GREENFIRE-EQ.NS      "GREEN FIRE AGRI COMMODITIES LIM"                                                                   
IBULHSGFIN-EQ.NS     "INDIABULLS HOUSING FINANCE LIMI"                                                                   
FLFL.NS              "Future Lifestyle Fashions Ltd"                                                                     
IMPEXFERR.NS         "Impex Ferro Tech Ltd"                                                                              
RELGRNIFTY-EQ.NS     "RELIGARE MUTUAL FD NIFFTY ETF"                                                                     
SFCL.NS              "Star Ferro and Cement Ltd"                                                                         
FEDDERLOY.NS         "Fedders Lloyd Corp Ltd"                                                                            
INDTERRAIN-EQ.NS     "INDIAN TERRAIN FASHIONS LIMITED"                                                                   
GICHSGFIN.NS         "GIC Housing Finance Ltd"                                                                           
RELCNX100-EQ.NS      "RELIANCE MUTUAL FD RSHARES CNX "                                                                   
TFL-EQ.NS            "TRANSWARRANTY FINANCE LIMITED"                                                                     
SHRIRAMCI.NS         "Shriram City Union Finance Ltd"                                                                    
GRASIM.NS            "Grasim Industries Ltd"                                                                             
GAIL.NS              "GAIL India Ltd"                                                                                    
GMRINFRA.NS          "GMR Infrastructure Ltd"                                                                            
IGL.NS               "Indraprastha Gas Ltd"                                                                              
GMBREW.NS            "G M Breweries Ltd"                                                                                 
GRANULES.NS          "Granules India Ltd"                                                                                
GOACARBON.NS         "Goa Carbon Ltd"                                                                                    
GODREJIND.NS         "Godrej Industries Ltd"                                                                             
GLAXO.NS             "GlaxoSmithKline Pharmaceuticals Ltd"                                                               
GUJNRECOK.NS         "Gujarat NRE Coke Ltd"                                                                              
GSPL.NS              "Gujarat State Petronet Ltd"                                                                        
GPPL.NS              "Gujarat Pipavav Port Ltd"                                                                          
GLENMARK.NS          "Glenmark Pharmaceuticals Ltd"                                                                      
CROMPGREA.NS         "Crompton Greaves Ltd"                                                                              
POWERGRID.NS         "Power Grid Corp Of India Ltd"                                                                      
KITEX.NS             "Kitex Garments Ltd"                                                                                
GOLDBEES.NS          "Goldman Sachs Gold BeES ETF"                                                                       
GAYAPROJ.NS          "Gayatri Projects Ltd"                                                                              
GATI.NS              "Gati Ltd"                                                                                          
ASAHIINDIA-EQ.NS     "ASAHI INDIA GLASS LIMITED"                                                                         
GUFICBIO.NS          "Gufic BioSciences Ltd"                                                                             
GTL.NS               "GTL Ltd"                                                                                           
GREENPOWER-EQ.NS     "ORIENT GREEN POWER COMPANY LIMI"                                                                   
GREENPLY.NS          "Greenply Industries Ltd"                                                                           
GULFCORP.NS          ""                                                                                                  
BGLOBAL.NS           "Bharatiya Global Infomedia Ltd"                                                                    
GLOBOFFS.NS          "GLOBAL OFFSHORE SERVICES LIMITE"                                                                   
SGL.NS               "STL Global Ltd"                                                                                    
GULPOLY.NS           "Gulshan Polyols Ltd"                                                                               
KOTAKGOLD.NS         "Kotak Gold ETF"                                                                                    
GUJFLUORO.NS         "Gujarat Fluorochemicals Ltd"                                                                       
GANGOTRI.NS          "Gangotri Textiles Ltd"                                                                             
ASIANTILE.NS         "Asian Granito India Ltd"                                                                           
GABRIEL.NS           "Gabriel India Ltd"                                                                                 
GSCLCEMEN.NS         ""                                                                                                  
INTEGRA-EQ.NS        "INTEGRA GARMENTS A INR3"                                                                           
GENUSPAPE.NS         ""                                                                                                  
INFRABEES.NS         "GOLDMAN SACHS INFR BENCHMARK AS"                                                                   
POWERGRID-IL.NS      "POWER GRID CORPORATION OF INDIA"                                                                   
GENUSPOWER-EQ.NS     "GENUS POWER INFRASTRUCTURES LIM"                                                                   
HGS.NS               "HINDUJA GLOBAL SOLUTIONS LIMITE"                                                                   
SHANTIGEA.NS         "Shanthi Gears Ltd"                                                                                 
LIQUIDBEE.NS         "GOLDMAN SACHS LIQUID EXCHANGE"                                                                     
UTTAMSTL.NS          "Uttam Galva Steels Ltd"                                                                            
GLFL-EQ.NS           "GUJARAT LEASE FINANCE LTD"                                                                         
SPHEREGSL-EQ.NS      "SPHERE GLOBAL SERVICE LTD"                                                                         
DATAMATICS-EQ.NS     "DATAMATICS GLOBAL SERVICES LIMI"                                                                   
HCC.NS               "Hindustan Construction Co Ltd"                                                                     
HFCL.NS              "Himachal Futuristic Communications Ltd"                                                            
KAMATHOTE.NS         "Kamat Hotels India Ltd"                                                                            
HOTELEELA.NS         "Hotel Leela Venture Ltd"                                                                           
HIMATSEID.NS         "Himatsingka Seide Ltd"                                                                             
HCL-INSYS-EQ.NS      "HCL INFOSYSTEMS LIMITED"                                                                           
FORTIS.NS            "Fortis Healthcare Ltd"                                                                             
HINDUNILV.NS         "Hindustan Unilever Ltd"                                                                            
HINDCOPPE.NS         "Hindustan Copper Ltd"                                                                              
HINDCOMPO.NS         "Hindustan Composites Ltd"                                                                          
